idx,O Rel,O RF,O PFC,O WCC,O UC,O All,D Rel,D RF,D PFC,D WCC,D UC,D All,C Rel,C RF,C PFC,C WCC,C UC,C All,R Rel,R RF,R PFC,R WCC,R UC,R All,Ch Rel,Ch RF,Ch PFC,Ch WCC,Ch UC,Ch All,P Rel,P RF,P PFC,P WCC,P UC,P All
48,1.00,1.00,1.00,1.00,0.95,0.95,0.38,1.00,1.00,1.00,0.98,0.36,1.00,0.75,1.00,0.99,1.00,0.75,0.65,0.35,1.00,0.78,1.00,0.31,1.00,0.96,0.05,1.00,0.04,0.03,1.00,0.99,1.00,0.97,0.97,0.94
49,1.00,1.00,1.00,1.00,1.00,1.00,0.33,1.00,1.00,1.00,0.99,0.33,1.00,1.00,1.00,1.00,1.00,1.00,0.32,0.96,1.00,0.96,1.00,0.32,1.00,1.00,1.00,1.00,0.73,0.73,1.00,1.00,1.00,1.00,1.00,1.00
50,1.00,1.00,1.00,1.00,0.95,0.95,0.31,1.00,1.00,1.00,0.98,0.30,1.00,1.00,1.00,0.85,1.00,0.85,0.30,0.67,1.00,0.37,1.00,0.27,1.00,0.70,0.93,0.96,0.45,0.36,1.00,0.97,0.77,0.83,0.89,0.56
51,1.00,1.00,1.00,1.00,1.00,1.00,0.47,1.00,1.00,1.00,0.99,0.46,1.00,1.00,1.00,1.00,1.00,1.00,0.41,0.90,1.00,0.27,1.00,0.24,1.00,1.00,0.98,1.00,0.53,0.53,1.00,1.00,0.79,0.97,0.94,0.74
52,1.00,1.00,1.00,1.00,1.00,1.00,0.41,1.00,1.00,1.00,0.99,0.41,1.00,1.00,1.00,0.99,1.00,0.99,0.71,0.92,1.00,0.94,1.00,0.70,1.00,0.98,1.00,1.00,0.73,0.71,1.00,1.00,1.00,0.98,0.99,0.97
53,1.00,1.00,1.00,1.00,1.00,1.00,0.34,1.00,1.00,1.00,1.00,0.34,1.00,0.44,1.00,0.81,1.00,0.44,0.35,0.52,1.00,0.71,1.00,0.33,1.00,0.90,0.49,1.00,0.40,0.38,1.00,0.98,0.99,0.98,0.95,0.91
54,1.00,1.00,1.00,1.00,0.99,0.99,0.79,1.00,1.00,1.00,0.99,0.78,1.00,1.00,1.00,1.00,1.00,1.00,0.26,1.00,1.00,0.97,1.00,0.26,1.00,1.00,0.94,1.00,0.17,0.17,1.00,1.00,0.99,1.00,0.98,0.97
55,1.00,1.00,1.00,1.00,1.00,1.00,0.47,1.00,1.00,1.00,0.99,0.46,1.00,0.74,1.00,0.94,1.00,0.74,0.68,0.64,1.00,0.59,1.00,0.36,1.00,0.98,1.00,1.00,0.88,0.86,1.00,1.00,1.00,0.97,0.98,0.95
56,0.99,1.00,1.00,0.90,1.00,0.89,0.79,1.00,1.00,1.00,1.00,0.79,1.00,1.00,1.00,1.00,1.00,1.00,0.28,0.99,1.00,0.96,1.00,0.28,1.00,1.00,0.37,1.00,0.36,0.32,1.00,1.00,1.00,1.00,1.00,1.00
57,1.00,1.00,1.00,1.00,0.98,0.98,0.56,1.00,1.00,1.00,0.97,0.53,1.00,1.00,1.00,1.00,1.00,1.00,0.76,0.95,1.00,0.95,1.00,0.76,1.00,1.00,0.94,1.00,0.68,0.68,1.00,1.00,1.00,0.99,0.98,0.96
58,1.00,1.00,1.00,1.00,0.96,0.96,0.42,1.00,1.00,1.00,0.99,0.41,1.00,0.76,1.00,0.98,1.00,0.76,0.69,0.16,1.00,0.58,1.00,0.15,1.00,1.00,1.00,1.00,0.58,0.58,1.00,0.99,1.00,0.98,0.99,0.97
59,1.00,1.00,1.00,1.00,1.00,1.00,0.71,1.00,1.00,1.00,0.98,0.69,1.00,1.00,1.00,1.00,1.00,1.00,0.76,0.94,1.00,0.95,1.00,0.75,1.00,1.00,0.99,1.00,0.74,0.73,1.00,1.00,0.39,0.96,0.83,0.35
60,0.97,1.00,1.00,0.95,1.00,0.92,0.48,0.70,1.00,0.81,1.00,0.42,1.00,1.00,1.00,0.81,1.00,0.81,0.42,0.41,1.00,0.57,1.00,0.32,1.00,0.86,0.19,1.00,0.13,0.10,1.00,0.44,0.68,0.09,0.98,0.07
61,1.00,1.00,1.00,1.00,1.00,1.00,0.68,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.74,0.95,1.00,0.67,0.99,0.62,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.98
62,1.00,1.00,1.00,1.00,1.00,1.00,0.20,0.96,1.00,0.97,1.00,0.20,1.00,1.00,1.00,0.89,1.00,0.89,0.24,0.98,1.00,0.83,1.00,0.24,1.00,1.00,0.87,1.00,0.33,0.33,1.00,1.00,1.00,0.60,1.00,0.60
63,1.00,1.00,1.00,1.00,1.00,1.00,0.44,1.00,1.00,1.00,1.00,0.44,1.00,1.00,1.00,1.00,1.00,1.00,0.26,1.00,1.00,0.98,1.00,0.26,1.00,0.96,1.00,1.00,0.70,0.66,0.97,0.99,1.00,0.99,1.00,0.95
64,1.00,1.00,1.00,1.00,1.00,1.00,0.67,1.00,1.00,1.00,1.00,0.67,1.00,1.00,1.00,1.00,1.00,1.00,0.40,0.85,1.00,0.93,1.00,0.40,1.00,1.00,0.72,1.00,0.63,0.63,1.00,0.99,1.00,0.97,0.86,0.83
65,1.00,1.00,1.00,0.72,0.99,0.71,0.92,1.00,1.00,0.86,0.99,0.77,1.00,0.76,1.00,0.99,1.00,0.76,0.51,0.47,1.00,0.82,1.00,0.36,1.00,1.00,0.99,1.00,0.95,0.95,1.00,1.00,1.00,0.98,0.98,0.96
66,1.00,1.00,1.00,1.00,0.99,0.99,0.48,1.00,1.00,0.97,0.99,0.47,1.00,1.00,1.00,1.00,1.00,1.00,0.66,0.97,1.00,0.96,1.00,0.66,1.00,1.00,0.56,1.00,0.27,0.24,1.00,1.00,0.67,0.96,0.79,0.51
67,1.00,1.00,1.00,1.00,1.00,1.00,0.80,1.00,1.00,1.00,1.00,0.79,1.00,1.00,1.00,1.00,1.00,1.00,0.70,0.96,1.00,0.95,1.00,0.70,1.00,1.00,1.00,1.00,0.68,0.68,1.00,1.00,0.52,0.99,0.80,0.41
68,1.00,1.00,1.00,1.00,1.00,1.00,0.48,1.00,1.00,1.00,0.99,0.47,1.00,1.00,1.00,1.00,1.00,1.00,0.31,0.69,1.00,0.84,1.00,0.31,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.98,0.98
